HOUSEHOLD_KEY,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO
25,30000000000,2021-12-01,1050,2,11.63,500,1.16,1125,48
26,30000000000,2021-01-01,1049,4,30.68,300,0.0,1672,1
14,30000000000,2021-04-07,1013,1,11.04,500,0.0,995,14
86,30000000001,2021-10-20,1041,2,14.73,300,0.0,1813,42
51,30000000001,2021-05-30,1019,3,8.94,300,0.89,1488,22
20,30000000001,2021-09-12,1009,3,3.53,500,0.35,1806,37
8,30000000002,2021-12-30,1047,4,9.04,500,0.9,927,52
96,30000000002,2021-07-12,1003,3,7.85,400,0.0,2119,28
11,30000000002,2021-01-12,1013,3,17.63,500,1.76,1173,2
80,30000000003,2021-07-29,1013,3,17.04,400,0.0,1538,30
42,30000000003,2021-11-15,1022,3,42.76,300,4.28,1363,46
4,30000000003,2021-08-14,1007,3,14.03,300,0.0,1713,33
70,30000000004,2021-01-12,1015,3,4.76,400,0.0,2056,2
17,30000000004,2021-08-14,1009,2,19.95,500,0.0,1596,33
29,30000000004,2021-11-12,1038,2,29.12,400,0.0,1533,46
78,30000000005,2021-08-21,1016,3,12.47,400,0.0,1989,34
90,30000000005,2021-11-05,1024,3,20.79,400,0.0,1461,45
37,30000000005,2021-08-13,1014,4,8.74,400,0.0,1739,33
14,30000000006,2021-06-24,1034,1,10.46,300,1.05,955,25
79,30000000006,2021-10-17,1016,3,20.86,400,0.0,1968,42
26,30000000006,2021-03-30,1015,3,11.87,400,0.0,1716,13
19,30000000007,2021-07-22,1013,3,13.26,300,0.0,2157,29
68,30000000007,2021-01-10,1043,1,2.57,300,0.0,2116,2
68,30000000007,2021-10-15,1026,2,6.93,300,0.69,872,42
8,30000000008,2021-12-26,1040,2,15.83,400,0.0,1255,52
32,30000000008,2021-03-07,1045,1,2.38,400,0.0,1592,10
54,30000000008,2021-09-20,1048,3,21.69,500,0.0,900,38
52,30000000009,2021-04-22,1012,2,15.27,500,0.0,1353,16
21,30000000009,2021-01-28,1006,3,12.58,300,0.0,2175,4
8,30000000009,2021-08-01,1033,4,28.34,300,0.0,2045,31
39,30000000010,2021-04-14,1014,4,10.98,400,0.0,1833,15
21,30000000010,2021-08-17,1033,3,18.66,400,0.0,1393,33
19,30000000010,2021-07-17,1023,2,11.33,400,1.13,1721,29
69,30000000011,2021-01-07,1028,1,2.67,400,0.0,2026,1
20,30000000011,2021-02-26,1008,4,28.08,500,0.0,1909,9
76,30000000011,2021-03-26,1044,2,7.62,500,0.76,1927,13
82,30000000012,2021-05-13,1024,3,43.93,300,4.39,1445,19
83,30000000012,2021-09-04,1007,2,7.03,300,0.0,942,36
63,30000000012,2021-03-14,1043,1,3.74,500,0.37,1197,11
38,30000000013,2021-11-28,1006,2,27.59,300,0.0,1619,48
93,30000000013,2021-07-09,1034,4,34.0,300,0.0,1140,28
49,30000000013,2021-05-27,1015,2,12.73,300,0.0,1454,21
41,30000000014,2021-03-14,1024,4,15.03,400,0.0,994,11
28,30000000014,2021-09-17,1043,4,7.57,500,0.0,2057,38
51,30000000014,2021-04-21,1025,3,25.05,300,2.51,903,16
86,30000000015,2021-08-30,1002,1,7.53,400,0.0,1403,35
51,30000000015,2021-01-01,1027,3,4.86,300,0.49,1000,1
1,30000000015,2021-02-22,1042,2,17.16,400,1.72,1876,8
19,30000000016,2021-11-16,1003,2,7.69,300,0.0,936,46
27,30000000016,2021-10-30,1008,2,4.0,300,0.0,1836,44
82,30000000016,2021-06-12,1045,3,24.46,400,0.0,1340,24
43,30000000017,2021-06-06,1002,3,9.66,500,0.0,1315,23
90,30000000017,2021-01-15,1038,3,12.57,400,0.0,2117,3
62,30000000017,2021-04-04,1047,3,30.44,400,0.0,885,14
44,30000000018,2021-09-14,1006,1,2.72,500,0.0,1864,37
5,30000000018,2021-06-13,1002,4,28.97,500,0.0,1232,24
87,30000000018,2021-09-12,1044,2,11.32,400,0.0,1235,37
25,30000000019,2021-09-04,1008,1,3.11,400,0.0,1991,36
83,30000000019,2021-04-28,1036,3,9.67,400,0.0,818,17
86,30000000019,2021-01-22,1027,1,2.3,500,0.0,1029,4
20,30000000020,2021-03-14,1005,4,34.23,400,0.0,1169,11
27,30000000020,2021-03-14,1030,1,2.86,300,0.29,1664,11
54,30000000020,2021-03-10,1012,4,4.29,500,0.0,1076,10
61,30000000021,2021-08-23,1026,3,22.78,400,0.0,1819,34
36,30000000021,2021-11-01,1038,1,9.56,300,0.0,970,44
25,30000000021,2021-01-20,1027,1,9.97,400,0.0,802,3
54,30000000022,2021-09-26,1035,4,29.66,300,0.0,1754,39
2,30000000022,2021-03-04,1040,2,6.75,500,0.68,1627,9
46,30000000022,2021-07-16,1028,2,17.56,500,0.0,1182,29
19,30000000023,2021-05-22,1044,5,7.73,500,0.0,1579,21
40,30000000023,2021-11-09,1006,1,5.19,300,0.0,1075,45
53,30000000023,2021-10-29,1021,3,24.7,400,0.0,1951,44
24,30000000024,2021-12-31,1030,3,28.69,500,0.0,987,53
90,30000000024,2021-09-30,1011,4,14.58,500,0.0,1127,39
8,30000000024,2021-03-13,1046,3,27.9,400,0.0,938,11
43,30000000025,2021-12-26,1016,4,15.27,300,1.53,1767,52
88,30000000025,2021-05-29,1021,4,19.48,400,0.0,1683,22
38,30000000025,2021-07-24,1016,1,9.17,300,0.92,1405,30
73,30000000026,2021-08-05,1007,2,12.83,400,0.0,1509,31
59,30000000026,2021-02-14,1009,3,38.38,500,0.0,2136,7
80,30000000026,2021-09-04,1024,4,13.57,500,0.0,912,36
73,30000000027,2021-09-03,1009,2,11.8,500,0.0,871,36
7,30000000027,2021-12-22,1022,2,12.53,400,0.0,1629,51
93,30000000027,2021-05-09,1042,3,6.49,500,0.65,1406,19
81,30000000028,2021-03-30,1038,3,28.08,400,0.0,1304,13
98,30000000028,2021-05-29,1016,2,13.41,400,0.0,1711,22
81,30000000028,2021-02-15,1036,3,15.52,300,0.0,1505,7
29,30000000029,2021-09-24,1002,1,10.11,500,0.0,1226,39
19,30000000029,2021-02-04,1019,2,13.85,400,0.0,1916,5
45,30000000029,2021-09-08,1014,3,14.68,300,0.0,1741,36
90,30000000030,2021-09-28,1027,2,12.99,400,0.0,1958,39
43,30000000030,2021-04-21,1001,2,17.39,500,0.0,921,16
84,30000000030,2021-05-26,1020,2,14.1,500,0.0,910,21
9,30000000031,2021-12-14,1049,2,15.17,500,0.0,1949,50
49,30000000031,2021-12-13,1017,1,7.25,300,0.0,1913,50
40,30000000031,2021-12-02,1005,1,2.79,400,0.0,844,48
6,30000000032,2021-04-09,1014,3,27.39,300,0.0,1897,15
73,30000000032,2021-11-01,1019,3,4.69,500,0.0,1394,44
42,30000000032,2021-01-01,1043,3,23.76,500,0.0,1642,1
42,30000000033,2021-09-10,1011,4,28.46,500,0.0,2032,37
78,30000000033,2021-10-10,1003,3,13.12,300,0.0,1117,41
80,30000000033,2021-01-24,1029,2,11.68,300,0.0,1410,4
62,30000000034,2021-07-06,1028,3,40.47,500,0.0,1985,27
46,30000000034,2021-03-08,1046,2,5.46,300,0.55,1382,10
3,30000000034,2021-06-15,1037,2,5.64,400,0.0,1456,24
88,30000000035,2021-06-30,1031,3,8.14,500,0.0,1387,26
49,30000000035,2021-03-28,1027,1,3.18,400,0.0,1357,13
3,30000000035,2021-04-29,1038,2,19.16,400,1.92,1163,17
34,30000000036,2021-08-04,1044,2,8.98,400,0.0,2069,31
61,30000000036,2021-09-11,1036,3,11.52,400,0.0,976,37
